Rank,State/Federal District,Life Expectancy 2018,Life Expectancy 2010,Change 2010-2018,Male Life Expectancy,Female Life Expectancy
1,Hawaii,82.3,81.4,0.9,79.3,85.3
2,California,81.6,80.6,1.0,79.4,83.8
,Puerto Rico,81.3,78.7,2.6,77.6,84.7
3,New York,81.3,80.3,1.0,79.0,83.4
,Virgin Islands,81.2,79.2,2.0,76.3,85.6
4,Minnesota,81.0,80.8,0.2,79.0,83.0
5,Connecticut,80.9,80.7,0.2,78.7,83.0
,Guam,80.7,78.2,2.5,77.6,83.8
,Colorado,80.5,80.1,0.4,78.5,82.5
6,Massachusetts,80.5,80.5,,78.2,82.6
8,Washington,80.4,80.1,0.3,78.4,82.4
8,New Jersey,80.4,80.0,0.4,78.2,82.5
10,Florida,80.0,79.0,1.0,77.3,82.6
11,Arizona,79.9,79.3,0.6,77.5,82.3
11,Rhode Island,79.9,79.5,0.4,77.7,82.1
11,North Dakota,79.9,79.7,0.2,77.6,82.5
11,Utah,79.9,79.8,0.1,78.2,81.6
15,Oregon,79.8,79.5,0.3,77.8,81.9
16,Vermont,79.7,80.1,0.4,77.8,81.7
17,Nebraska,79.6,79.7,0.1,77.4,81.7
18,Virginia,79.5,79.1,0.4,77.4,81.5
18,New Hampshire,79.5,80.3,0.8,77.5,81.4
20,Iowa,79.4,79.6,0.2,77.2,81.6
20,Wisconsin,79.4,79.6,0.2,77.3,81.5
22,Illinois,79.3,79.0,0.3,77.0,81.6
22,Idaho,79.3,79.4,0.1,77.4,81.2
24,Texas,79.1,78.4,0.7,76.8,81.5
24,Maryland,79.1,79.0,0.1,76.7,81.4
24,South Dakota,79.1,79.3,0.2,76.7,81.6
27,Wyoming,79.0,78.1,0.9,77.1,81.1
28,Alaska,78.8,78.0,0.8,76.7,81.2
28,Montana,78.8,78.5,0.2,76.8,81.0
30,Maine,78.7,79.1,0.4,76.6,81.0
31,District of Columbia,78.6,76.5,2.1,75.7,81.3
32,Nevada,78.5,77.8,0.7,76.1,81.0
32,Kansas,78.5,78.6,0.1,76.3,80.7
34,Delaware,78.4,78.3,0.1,76.2,80.6
35,Pennsylvania,78.3,78.5,0.2,75.8,80.6
36,New Mexico,78.1,78.2,0.1,75.3,81.0
37,North Carolina,78.0,77.8,0.2,75.5,80.3
37,Michigan,78.0,78.0,,75.7,80.2
39,Georgia,77.8,77.3,0.5,75.4,80.0
40,Missouri,77.3,77.4,0.1,74.9,79.8
41,South Carolina,77.0,76.8,0.2,74.4,79.6
41,Indiana,77.0,77.5,0.5,74.6,79.3
43,Ohio,76.9,77.7,0.8,74.6,79.2
,Northern Mariana Islands,76.4,76.9,0.5,73.6,79.3
44,Louisiana,76.1,75.8,0.3,73.4,79.0
45,Oklahoma,76.0,75.7,0.3,73.7,78.4
45,Tennessee,76.0,76.2,0.2,73.3,78.6
47,Arkansas,75.9,76.0,0.1,73.1,78.6
48,Alabama,75.4,75.4,,72.6,78.1
48,Kentucky,75.4,75.9,0.5,72.8,77.9
50,Mississippi,74.9,74.8,0.1,71.9,78.0
,American Samoa,74.8,74.0,0.8,73.0,77.0
51,West Virginia,74.8,75.5,0.7,72.4,77.4